
2024/07/08 (16:23:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:53:04) | ===> btop++ v.1.3.2
2024/07/08 (16:53:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (16:59:24) | ===> btop++ v.1.3.2
2024/07/08 (16:59:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:59:47) | ===> btop++ v.1.3.2
2024/07/08 (19:59:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (11:27:52) | ===> btop++ v.1.3.2
2024/07/09 (11:27:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (20:58:27) | ===> btop++ v.1.3.2
2024/07/09 (20:58:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (09:03:02) | ===> btop++ v.1.3.2
2024/07/10 (09:03:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (14:21:15) | ===> btop++ v.1.3.2
2024/07/10 (14:21:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (14:23:34) | ===> btop++ v.1.3.2
2024/07/10 (14:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (10:36:54) | ===> btop++ v.1.3.2
2024/07/11 (10:36:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (13:21:12) | ===> btop++ v.1.3.2
2024/07/11 (13:21:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (13:24:08) | ===> btop++ v.1.3.2
2024/07/11 (13:24:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (12:35:50) | ===> btop++ v.1.3.2
2024/07/12 (12:35:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (18:40:29) | ===> btop++ v.1.3.2
2024/07/12 (18:40:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/13 (01:23:23) | ===> btop++ v.1.3.2
2024/07/13 (01:23:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/13 (13:02:08) | ===> btop++ v.1.3.2
2024/07/13 (13:02:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/13 (16:29:34) | ===> btop++ v.1.3.2
2024/07/13 (16:29:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (14:13:50) | ===> btop++ v.1.3.2
2024/07/14 (14:13:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/15 (11:54:22) | ===> btop++ v.1.3.2
2024/07/15 (11:54:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/15 (22:19:30) | ===> btop++ v.1.3.2
2024/07/15 (22:19:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/16 (12:14:47) | ===> btop++ v.1.3.2
2024/07/16 (12:14:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/16 (15:33:04) | ===> btop++ v.1.3.2
2024/07/16 (15:33:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/17 (01:18:44) | ===> btop++ v.1.3.2
2024/07/17 (01:18:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/17 (13:07:39) | ===> btop++ v.1.3.2
2024/07/17 (13:07:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/18 (11:00:34) | ===> btop++ v.1.3.2
2024/07/18 (11:00:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/19 (01:49:55) | ===> btop++ v.1.3.2
2024/07/19 (01:49:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

